page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
 132     0 image     346   411  gray    1   8  jpeg   no       534  0   150   150 10.1K 7.3%
 132     1 image     346   411  gray    1   8  jpeg   no       535  0   150   150 10.1K 7.3%
 133     2 image     346   346  gray    1   8  jpeg   no       539  0   150   150 3587B 3.0%
 133     3 image     346   346  gray    1   8  jpeg   no       540  0   150   150 16.5K  14%
 135     4 image     256   256  gray    1   8  jpeg   no       547  0   150   150 1977B 3.0%
 135     5 image     256   256  gray    1   8  jpeg   no       548  0   150   150 1869B 2.9%
 135     6 image     256   256  gray    1   8  jpeg   no       549  0   150   150 2041B 3.1%
 135     7 image     256   256  gray    1   8  jpeg   no       550  0   150   150 1977B 3.0%
 136     8 image     300   393  gray    1   8  jpeg   no       554  0   150   150 9564B 8.1%
 136     9 image     300   393  gray    1   8  jpeg   no       555  0   150   150 10.0K 8.7%
 136    10 image     300   393  gray    1   8  jpeg   no       556  0   150   150 11.4K  10%
 136    11 image     300   393  gray    1   8  jpeg   no       557  0   150   150 13.1K  11%
 137    12 image     338   340  gray    1   8  jpeg   no       561  0   150   150 25.7K  23%
 137    13 image     338   340  gray    1   8  jpeg   no       562  0   150   150 32.4K  29%
 137    14 image     338   340  gray    1   8  jpeg   no       563  0   150   150 32.7K  29%
 137    15 image     338   340  gray    1   8  jpeg   no       564  0   150   150 32.4K  29%
 139    16 image     314   313  gray    1   8  jpeg   no       571  0   150   150 6033B 6.1%
 139    17 image     314   313  gray    1   8  jpeg   no       572  0   150   150 18.5K  19%
 139    18 image     314   313  gray    1   8  jpeg   no       573  0   150   150 25.2K  26%
 140    19 image     283   326  gray    1   8  jpeg   no       577  0   150   150 10.3K  11%
 140    20 image     283   326  gray    1   8  jpeg   no       578  0   150   150 9118B 9.9%
 140    21 image     283   326  gray    1   8  jpeg   no       579  0   150   150 12.4K  14%
 141    22 image     283   119  gray    1   8  jpeg   no       583  0   150   150 9759B  29%
 141    23 image     283   119  gray    1   8  jpeg   no       584  0   150   150 10.4K  32%
 141    24 image     283   119  gray    1   8  jpeg   no       585  0   150   150 10.4K  32%
 141    25 image     283   119  gray    1   8  jpeg   no       586  0   150   150 10.8K  33%
 141    26 image     283   119  gray    1   8  jpeg   no       587  0   150   150 12.0K  36%
 141    27 image     283   119  gray    1   8  jpeg   no       588  0   150   150 12.5K  38%
 141    28 image     283   119  gray    1   8  jpeg   no       589  0   150   150 12.5K  38%
 141    29 image     283   119  gray    1   8  jpeg   no       590  0   150   150 12.2K  37%
 141    30 image     283   119  gray    1   8  jpeg   no       591  0   150   150 12.3K  37%
 142    31 image     283   119  gray    1   8  jpeg   no       595  0   150   150 9697B  29%
 142    32 image     283   119  gray    1   8  jpeg   no       596  0   150   150 9780B  29%
 142    33 image     283   119  gray    1   8  jpeg   no       597  0   150   150 9782B  29%
 143    34 image      60    48  gray    1   8  jpeg   no      4071  0   150   152  839B  29%
 144    35 image     250   250  gray    1   8  jpeg   no       604  0   150   150 5642B 9.0%
 144    36 image     250   250  gray    1   8  jpeg   no       605  0   150   150 9944B  16%
 144    37 image     250   250  gray    1   8  jpeg   no       606  0   150   150 4112B 6.6%
 144    38 image     250   250  gray    1   8  jpeg   no       607  0   150   150 14.4K  24%
 144    39 image      92   181  gray    1   8  jpeg   no       608  0   150   151 1616B 9.7%
 144    40 image     166   253  gray    1   8  jpeg   no       609  0   150   150 2876B 6.8%
 144    41 image      64   194  gray    1   8  jpeg   no       610  0   150   150 1444B  12%
 144    42 image     343   178  gray    1   8  jpeg   no       611  0   150   150 2829B 4.6%
 152    43 image     250   250  gray    1   8  jpeg   no       634  0   150   150 5612B 9.0%
 152    44 image     250   250  gray    1   8  jpeg   no       635  0   150   150 9989B  16%
 152    45 image     250   250  gray    1   8  jpeg   no       636  0   150   150 4106B 6.6%
 152    46 image     250   250  gray    1   8  jpeg   no       637  0   150   150 14.4K  24%
 152    47 image     250   250  gray    1   8  jpeg   no       638  0   150   150 14.4K  24%
 152    48 image     250   250  gray    1   8  jpeg   no       639  0   150   150 14.7K  24%
 152    49 image     250   250  gray    1   8  jpeg   no       638  0   150   150 14.4K  24%
 152    50 image     250   250  gray    1   8  jpeg   no       640  0   150   150 14.3K  23%
 159    51 image     272   206  gray    1   8  jpeg   no       662  0   150   151 1619B 2.9%
 159    52 image     238   349  gray    1   8  jpeg   no       661  0   150   150 6558B 7.9%
 160    53 image     114   214  gray    1   8  jpeg   no       666  0   150   150 1429B 5.9%
 160    54 image     238   349  gray    1   8  jpeg   no       667  0   150   150 5686B 6.8%
 161    55 image     222   206  gray    1   8  jpeg   no       672  0   150   150 1766B 3.9%
 161    56 image     238   349  gray    1   8  jpeg   no       671  0   150   150 7633B 9.2%
 163    57 image     256   256  gray    1   8  jpeg   no       679  0   150   150 3434B 5.2%
 163    58 image     256   256  gray    1   8  jpeg   no       680  0   150   150 8338B  13%
 163    59 image     256   256  gray    1   8  jpeg   no       681  0   150   150 9761B  15%
 166    60 image     252   298  gray    1   8  jpeg   no       689  0   168   168 9817B  13%
 166    61 image     252   298  gray    1   8  jpeg   no       690  0   168   168 11.1K  15%
 166    62 image     252   298  gray    1   8  jpeg   no       691  0   168   168 11.2K  15%
 173    63 image      60    48  gray    1   8  jpeg   no      4071  0   150   152  839B  29%
 178    64 image     312   312  gray    1   8  jpeg   no       733  0   150   150 9.90K  10%
 178    65 image     312   312  gray    1   8  jpeg   no       728  0   150   150 9760B  10%
 178    66 image     312   312  gray    1   8  jpeg   no       729  0   150   150 6558B 6.7%
 178    67 image     312   312  gray    1   8  jpeg   no       730  0   150   150 11.6K  12%
 178    68 image     312   312  gray    1   8  jpeg   no       731  0   150   150 7867B 8.1%
 178    69 image     312   312  gray    1   8  jpeg   no       732  0   150   150 5201B 5.3%
