lecture_pdf_page,source_heading_hint,topic,topic_file,status,source_image
1,What is a signal?,01,01_intro.md,created,images/lecture/lecture-p001.png
2,Discrete-time Signals and Systems,01,01_intro.md,created,images/lecture/lecture-p002.png
3,-1,01,01_intro.md,created,images/lecture/lecture-p003.png
4,Signals,01,01_intro.md,created,images/lecture/lecture-p004.png
5,Signal Processing,01,01_intro.md,created,images/lecture/lecture-p005.png
6,Limitations of Analog Signal Processing?,01,01_intro.md,created,images/lecture/lecture-p006.png
7,Limitations of Analog Signal Processing,01,01_intro.md,created,images/lecture/lecture-p007.png
8,Digital Signal Processing,01,01_intro.md,created,images/lecture/lecture-p008.png
9,Pros and Cons of Digital Signal Processing?,01,01_intro.md,created,images/lecture/lecture-p009.png
10,Pros and Cons of Digital Signal Processing,01,01_intro.md,created,images/lecture/lecture-p010.png
11,"Analog, digital, mixed signal",01,01_intro.md,created,images/lecture/lecture-p011.png
12,Digital Signal Processing,01,01_intro.md,created,images/lecture/lecture-p012.png
13,Sampling and reconstruction,01,01_intro.md,created,images/lecture/lecture-p013.png
14,Sample and hold (S/H)circuit,01,01_intro.md,created,images/lecture/lecture-p014.png
15,Periodic (Uniform) Sampling,01,01_intro.md,created,images/lecture/lecture-p015.png
16,Periodic Sampling,01,01_intro.md,created,images/lecture/lecture-p016.png
17,A/D converter,01,01_intro.md,created,images/lecture/lecture-p017.png
18,A/D converter,01,01_intro.md,created,images/lecture/lecture-p018.png
19,Quantization noise,01,01_intro.md,created,images/lecture/lecture-p019.png
20,D/A convertion,01,01_intro.md,created,images/lecture/lecture-p020.png
21,D/A convertion,02,02_reconstruction_and_sequences.md,created,images/lecture/lecture-p021.png
22,Reconstruction,02,02_reconstruction_and_sequences.md,created,images/lecture/lecture-p022.png
23,Reconstruction,02,02_reconstruction_and_sequences.md,created,images/lecture/lecture-p023.png
24,Reconstruction,02,02_reconstruction_and_sequences.md,created,images/lecture/lecture-p024.png
25,Reconstruction,02,02_reconstruction_and_sequences.md,created,images/lecture/lecture-p025.png
26,Representation of Sampling,02,02_reconstruction_and_sequences.md,created,images/lecture/lecture-p026.png
27,Unit Sample Sequence,02,02_reconstruction_and_sequences.md,created,images/lecture/lecture-p027.png
28,Impulse Function,02,02_reconstruction_and_sequences.md,created,images/lecture/lecture-p028.png
29,Definition of Impulse Function,02,02_reconstruction_and_sequences.md,created,images/lecture/lecture-p029.png
30,Graphical Representation,02,02_reconstruction_and_sequences.md,created,images/lecture/lecture-p030.png
31,Sampling Operation,02,02_reconstruction_and_sequences.md,created,images/lecture/lecture-p031.png
32,Unit Step Sequence,02,02_reconstruction_and_sequences.md,created,images/lecture/lecture-p032.png
33,Exponential Sequence,02,02_reconstruction_and_sequences.md,created,images/lecture/lecture-p033.png
34,Geometric Series,02,02_reconstruction_and_sequences.md,created,images/lecture/lecture-p034.png
35,Sinusoidal Sequence,02,02_reconstruction_and_sequences.md,created,images/lecture/lecture-p035.png
36,"Sequence as a sum of scaled, delayed",02,02_reconstruction_and_sequences.md,created,images/lecture/lecture-p036.png
37,Sequence Operations,02,02_reconstruction_and_sequences.md,created,images/lecture/lecture-p037.png
38,Systems,02,02_reconstruction_and_sequences.md,created,images/lecture/lecture-p038.png
39,Systems,02,02_reconstruction_and_sequences.md,created,images/lecture/lecture-p039.png
40,System Characteristics,02,02_reconstruction_and_sequences.md,created,images/lecture/lecture-p040.png
41,Discrete-Time Systems,03,03_discrete_time_systems.md,created,images/lecture/lecture-p041.png
42,Linearity,03,03_discrete_time_systems.md,created,images/lecture/lecture-p042.png
43,Linear Systems,03,03_discrete_time_systems.md,created,images/lecture/lecture-p043.png
44,Time (Shift) Invariance,03,03_discrete_time_systems.md,created,images/lecture/lecture-p044.png
45,Time-Invariant Systems,03,03_discrete_time_systems.md,created,images/lecture/lecture-p045.png
46,Impulse Response,03,03_discrete_time_systems.md,created,images/lecture/lecture-p046.png
47,Linear Shift-Invariant Systems,03,03_discrete_time_systems.md,created,images/lecture/lecture-p047.png
48,Causality,03,03_discrete_time_systems.md,created,images/lecture/lecture-p048.png
49,Causal System,03,03_discrete_time_systems.md,created,images/lecture/lecture-p049.png
50,Stability,03,03_discrete_time_systems.md,created,images/lecture/lecture-p050.png
51,Stable System,03,03_discrete_time_systems.md,created,images/lecture/lecture-p051.png
52,Memory (State),03,03_discrete_time_systems.md,created,images/lecture/lecture-p052.png
53,Memoryless System,03,03_discrete_time_systems.md,created,images/lecture/lecture-p053.png
54,Invertible System,03,03_discrete_time_systems.md,created,images/lecture/lecture-p054.png
55,Passive and Lossless Systems,03,03_discrete_time_systems.md,created,images/lecture/lecture-p055.png
56,Examples of Systems,03,03_discrete_time_systems.md,created,images/lecture/lecture-p056.png
57,Impulse Response of LTI Systems,03,03_discrete_time_systems.md,created,images/lecture/lecture-p057.png
58,Impulse Response for Examples,03,03_discrete_time_systems.md,created,images/lecture/lecture-p058.png
59,Stability Condition for LTI Systems,03,03_discrete_time_systems.md,created,images/lecture/lecture-p059.png
60,Stable and Causal LTI Systems,03,03_discrete_time_systems.md,created,images/lecture/lecture-p060.png
61,Difference Equations,04,04_difference_equations_and_applications.md,created,images/lecture/lecture-p061.png
62,Accumulator Example,04,04_difference_equations_and_applications.md,created,images/lecture/lecture-p062.png
63,Total Solution Calculation,04,04_difference_equations_and_applications.md,created,images/lecture/lecture-p063.png
64,Homogeneous Solution,04,04_difference_equations_and_applications.md,created,images/lecture/lecture-p064.png
65,Particular Solution,04,04_difference_equations_and_applications.md,created,images/lecture/lecture-p065.png
66,General Form of Particular Solution,04,04_difference_equations_and_applications.md,created,images/lecture/lecture-p066.png
67,Example (1/3),04,04_difference_equations_and_applications.md,created,images/lecture/lecture-p067.png
68,Example (2/3),04,04_difference_equations_and_applications.md,created,images/lecture/lecture-p068.png
69,Example (3/3),04,04_difference_equations_and_applications.md,created,images/lecture/lecture-p069.png
70,Initial-Rest Conditions,04,04_difference_equations_and_applications.md,created,images/lecture/lecture-p070.png
71,"Zero-input, Zero-state Response",04,04_difference_equations_and_applications.md,created,images/lecture/lecture-p071.png
72,Example (1/2),04,04_difference_equations_and_applications.md,created,images/lecture/lecture-p072.png
73,Mitra Example (2/2),04,04_difference_equations_and_applications.md,created,images/lecture/lecture-p073.png
74,Impulse Response,04,04_difference_equations_and_applications.md,created,images/lecture/lecture-p074.png
75,Example,04,04_difference_equations_and_applications.md,created,images/lecture/lecture-p075.png
76,DSP Applications,04,04_difference_equations_and_applications.md,created,images/lecture/lecture-p076.png
77,[visual page],04,04_difference_equations_and_applications.md,created,images/lecture/lecture-p077.png
78,Image enhancement,04,04_difference_equations_and_applications.md,created,images/lecture/lecture-p078.png
79,More Examples of Applications,04,04_difference_equations_and_applications.md,created,images/lecture/lecture-p079.png
80,Reasons for Using DSP,04,04_difference_equations_and_applications.md,created,images/lecture/lecture-p080.png
81,[visual page],05,05_frequency_response_and_z_transform.md,created,images/lecture/lecture-p081.png
82,System Analysis,05,05_frequency_response_and_z_transform.md,created,images/lecture/lecture-p082.png
83,Frequency Response,05,05_frequency_response_and_z_transform.md,created,images/lecture/lecture-p083.png
84,Ideal lowpass filter-example,05,05_frequency_response_and_z_transform.md,created,images/lecture/lecture-p084.png
85,Non causal to causal,05,05_frequency_response_and_z_transform.md,created,images/lecture/lecture-p085.png
86,Phase distortion and delay,05,05_frequency_response_and_z_transform.md,created,images/lecture/lecture-p086.png
87,Phase delay,05,05_frequency_response_and_z_transform.md,created,images/lecture/lecture-p087.png
88,Phase delay,05,05_frequency_response_and_z_transform.md,created,images/lecture/lecture-p088.png
89,Group delay,05,05_frequency_response_and_z_transform.md,created,images/lecture/lecture-p089.png
90,Group delay,05,05_frequency_response_and_z_transform.md,created,images/lecture/lecture-p090.png
91,The Z-Transform,05,05_frequency_response_and_z_transform.md,created,images/lecture/lecture-p091.png
92,Z-Transform Definition,05,05_frequency_response_and_z_transform.md,created,images/lecture/lecture-p092.png
93,For                 the z-transform reduces to the Fourier transform,05,05_frequency_response_and_z_transform.md,created,images/lecture/lecture-p093.png
94,Convergence of the z-Transform,05,05_frequency_response_and_z_transform.md,created,images/lecture/lecture-p094.png
95,Unit Circle in Complex Z-Plane,05,05_frequency_response_and_z_transform.md,created,images/lecture/lecture-p095.png
96,Region of Convergence (ROC),05,05_frequency_response_and_z_transform.md,created,images/lecture/lecture-p096.png
97,Region of Convergence,05,05_frequency_response_and_z_transform.md,created,images/lecture/lecture-p097.png
98,Laurent Series,05,05_frequency_response_and_z_transform.md,created,images/lecture/lecture-p098.png
99,Properties of the ROC,05,05_frequency_response_and_z_transform.md,created,images/lecture/lecture-p099.png
100,Properties of ROC Shown Graphically,05,05_frequency_response_and_z_transform.md,created,images/lecture/lecture-p100.png
101,Example: Right-Sided Sequence,06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p101.png
102,Example: Left-Sided Sequence,06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p102.png
103,Example: Sum of Two Exponential,06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p103.png
104,Example: Two-Sided Sequence,06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p104.png
105,Example: Finite Length Sequence,06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p105.png
106,Z-transforms with the same pole-zero locations,06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p106.png
107,Common Z-Transform Pairs,06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p107.png
108,Z-Transform Properties (1/2),06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p108.png
109,Z-Transform Properties (2/2,06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p109.png
110,Inverse z-Transform,06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p110.png
111,Example: Second-Order Z-Transform,06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p111.png
112,Partial Fraction Expansion,06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p112.png
113,Example,06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p113.png
114,Power Series Expansion,06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p114.png
115,Example,06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p115.png
116,Contour Integration,06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p116.png
117,Residue Calculation,06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p117.png
118,Quick Review of LTI Systems,06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p118.png
119,Phase Distortion and Delay,06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p119.png
120,System Functions for Difference Equations,06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p120.png
121,System Function,06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p121.png
122,Stability and Causality,06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p122.png
123,Example,06,06_inverse_z_transform_and_system_functions.md,created,images/lecture/lecture-p123.png
124,Structures for Discrete-Time Systems,07,07_iir_filter_structures.md,created,images/lecture/lecture-p124.png
125,Introduction,07,07_iir_filter_structures.md,created,images/lecture/lecture-p125.png
